Category,Priority,Task,CursorPrompt,Status,StatusNotes
Listings,P0,Enable multi-image upload,"You are Cursor, an AI pair programmer working on the Off Axis Deals production codebase (Next.js 15 App Router + TypeScript + Supabase + Stripe, deployed on Vercel).

Your SINGLE focused task right now is:

- Category: Listings
- Priority: P0
- Task: Enable multi-image upload

Objectives:
- Implement or fix this behavior so it is fully working in production.
- Do NOT change or refactor unrelated features.
- Keep the codebase Vercel-ready with zero TypeScript errors and no failing builds.

Follow this process:
1. Scan the repository for files and modules related to this task (routes, components, hooks, API routes, Supabase helpers, Stripe logic, etc.).
2. Identify the root cause or missing implementation for this task.
3. Implement the minimal but robust code changes required to complete the task.
4. Ensure correct auth, role checks (admin/investor/wholesaler), and Supabase RLS alignment where applicable.
5. Run these commands and iterate on failures until they ALL pass:
   - pnpm lint
   - pnpm test (if tests exist)
   - pnpm run build
6. If any command fails, read the error carefully, fix the cause, and re-run until everything succeeds.
7. Remove any unused variables/imports or dead code introduced during this change.

Definition of done for this task:
- The described feature/bugfix is working end-to-end in the local dev environment.
- All pages related to this task load with no runtime errors.
- pnpm run build completes successfully.
- No new TypeScript errors or ESLint warnings specific to this change remain.
",Done,CreateListingForm supports multiple images and uploads successfully; UX can be refined later.
Analytics,P0,Fix Lead Conversion Trends page,"You are Cursor, an AI pair programmer working on the Off Axis Deals production codebase (Next.js 15 App Router + TypeScript + Supabase + Stripe, deployed on Vercel).

Your SINGLE focused task right now is:

- Category: Analytics
- Priority: P0
- Task: Fix Lead Conversion Trends page

Objectives:
- Implement or fix this behavior so it is fully working in production.
- Do NOT change or refactor unrelated features.
- Keep the codebase Vercel-ready with zero TypeScript errors and no failing builds.

Follow this process:
1. Scan the repository for files and modules related to this task (routes, components, hooks, API routes, Supabase helpers, Stripe logic, etc.).
2. Identify the root cause or missing implementation for this task.
3. Implement the minimal but robust code changes required to complete the task.
4. Ensure correct auth, role checks (admin/investor/wholesaler), and Supabase RLS alignment where applicable.
5. Run these commands and iterate on failures until they ALL pass:
   - pnpm lint
   - pnpm test (if tests exist)
   - pnpm run build
6. If any command fails, read the error carefully, fix the cause, and re-run until everything succeeds.
7. Remove any unused variables/imports or dead code introduced during this change.

Definition of done for this task:
- The described feature/bugfix is working end-to-end in the local dev environment.
- All pages related to this task load with no runtime errors.
- pnpm run build completes successfully.
- No new TypeScript errors or ESLint warnings specific to this change remain.
",Done,Lead Conversion Trends page implemented with funnel logic; needs ongoing data accuracy checks.
Analytics,P0,Fix Geographic Heatmap,"You are Cursor, an AI pair programmer working on the Off Axis Deals production codebase (Next.js 15 App Router + TypeScript + Supabase + Stripe, deployed on Vercel).

Your SINGLE focused task right now is:

- Category: Analytics
- Priority: P0
- Task: Fix Geographic Heatmap

Objectives:
- Implement or fix this behavior so it is fully working in production.
- Do NOT change or refactor unrelated features.
- Keep the codebase Vercel-ready with zero TypeScript errors and no failing builds.

Follow this process:
1. Scan the repository for files and modules related to this task (routes, components, hooks, API routes, Supabase helpers, Stripe logic, etc.).
2. Identify the root cause or missing implementation for this task.
3. Implement the minimal but robust code changes required to complete the task.
4. Ensure correct auth, role checks (admin/investor/wholesaler), and Supabase RLS alignment where applicable.
5. Run these commands and iterate on failures until they ALL pass:
   - pnpm lint
   - pnpm test (if tests exist)
   - pnpm run build
6. If any command fails, read the error carefully, fix the cause, and re-run until everything succeeds.
7. Remove any unused variables/imports or dead code introduced during this change.

Definition of done for this task:
- The described feature/bugfix is working end-to-end in the local dev environment.
- All pages related to this task load with no runtime errors.
- pnpm run build completes successfully.
- No new TypeScript errors or ESLint warnings specific to this change remain.
",Done,Heatmap analytics page implemented; performance and visualization can be improved later.
Admin Panel,P0,Fix Alerts Admin page,"You are Cursor, an AI pair programmer working on the Off Axis Deals production codebase (Next.js 15 App Router + TypeScript + Supabase + Stripe, deployed on Vercel).

Your SINGLE focused task right now is:

- Category: Admin Panel
- Priority: P0
- Task: Fix Alerts Admin page

Objectives:
- Implement or fix this behavior so it is fully working in production.
- Do NOT change or refactor unrelated features.
- Keep the codebase Vercel-ready with zero TypeScript errors and no failing builds.

Follow this process:
1. Scan the repository for files and modules related to this task (routes, components, hooks, API routes, Supabase helpers, Stripe logic, etc.).
2. Identify the root cause or missing implementation for this task.
3. Implement the minimal but robust code changes required to complete the task.
4. Ensure correct auth, role checks (admin/investor/wholesaler), and Supabase RLS alignment where applicable.
5. Run these commands and iterate on failures until they ALL pass:
   - pnpm lint
   - pnpm test (if tests exist)
   - pnpm run build
6. If any command fails, read the error carefully, fix the cause, and re-run until everything succeeds.
7. Remove any unused variables/imports or dead code introduced during this change.

Definition of done for this task:
- The described feature/bugfix is working end-to-end in the local dev environment.
- All pages related to this task load with no runtime errors.
- pnpm run build completes successfully.
- No new TypeScript errors or ESLint warnings specific to this change remain.
",Done,Alerts admin UI implemented with real-time subscriptions; needs extended testing and error handling.
Admin Panel,P0,Fix Watchlist Admin page,"You are Cursor, an AI pair programmer working on the Off Axis Deals production codebase (Next.js 15 App Router + TypeScript + Supabase + Stripe, deployed on Vercel).

Your SINGLE focused task right now is:

- Category: Admin Panel
- Priority: P0
- Task: Fix Watchlist Admin page

Objectives:
- Implement or fix this behavior so it is fully working in production.
- Do NOT change or refactor unrelated features.
- Keep the codebase Vercel-ready with zero TypeScript errors and no failing builds.

Follow this process:
1. Scan the repository for files and modules related to this task (routes, components, hooks, API routes, Supabase helpers, Stripe logic, etc.).
2. Identify the root cause or missing implementation for this task.
3. Implement the minimal but robust code changes required to complete the task.
4. Ensure correct auth, role checks (admin/investor/wholesaler), and Supabase RLS alignment where applicable.
5. Run these commands and iterate on failures until they ALL pass:
   - pnpm lint
   - pnpm test (if tests exist)
   - pnpm run build
6. If any command fails, read the error carefully, fix the cause, and re-run until everything succeeds.
7. Remove any unused variables/imports or dead code introduced during this change.

Definition of done for this task:
- The described feature/bugfix is working end-to-end in the local dev environment.
- All pages related to this task load with no runtime errors.
- pnpm run build completes successfully.
- No new TypeScript errors or ESLint warnings specific to this change remain.
",Done,Watchlist admin UI implemented; needs feature expansion and robustness testing.
Admin Panel,P0,Fix Analytics Dashboard,"You are Cursor, an AI pair programmer working on the Off Axis Deals production codebase (Next.js 15 App Router + TypeScript + Supabase + Stripe, deployed on Vercel).

Your SINGLE focused task right now is:

- Category: Admin Panel
- Priority: P0
- Task: Fix Analytics Dashboard

Objectives:
- Implement or fix this behavior so it is fully working in production.
- Do NOT change or refactor unrelated features.
- Keep the codebase Vercel-ready with zero TypeScript errors and no failing builds.

Follow this process:
1. Scan the repository for files and modules related to this task (routes, components, hooks, API routes, Supabase helpers, Stripe logic, etc.).
2. Identify the root cause or missing implementation for this task.
3. Implement the minimal but robust code changes required to complete the task.
4. Ensure correct auth, role checks (admin/investor/wholesaler), and Supabase RLS alignment where applicable.
5. Run these commands and iterate on failures until they ALL pass:
   - pnpm lint
   - pnpm test (if tests exist)
   - pnpm run build
6. If any command fails, read the error carefully, fix the cause, and re-run until everything succeeds.
7. Remove any unused variables/imports or dead code introduced during this change.

Definition of done for this task:
- The described feature/bugfix is working end-to-end in the local dev environment.
- All pages related to this task load with no runtime errors.
- pnpm run build completes successfully.
- No new TypeScript errors or ESLint warnings specific to this change remain.
",Done,Admin analytics dashboard implemented with basic metrics; data accuracy and performance tuning remain.
Subscriptions,P0,Verify Stripe webhooks,"You are Cursor, an AI pair programmer working on the Off Axis Deals production codebase (Next.js 15 App Router + TypeScript + Supabase + Stripe, deployed on Vercel).

Your SINGLE focused task right now is:

- Category: Subscriptions
- Priority: P0
- Task: Verify Stripe webhooks

Objectives:
- Implement or fix this behavior so it is fully working in production.
- Do NOT change or refactor unrelated features.
- Keep the codebase Vercel-ready with zero TypeScript errors and no failing builds.

Follow this process:
1. Scan the repository for files and modules related to this task (routes, components, hooks, API routes, Supabase helpers, Stripe logic, etc.).
2. Identify the root cause or missing implementation for this task.
3. Implement the minimal but robust code changes required to complete the task.
4. Ensure correct auth, role checks (admin/investor/wholesaler), and Supabase RLS alignment where applicable.
5. Run these commands and iterate on failures until they ALL pass:
   - pnpm lint
   - pnpm test (if tests exist)
   - pnpm run build
6. If any command fails, read the error carefully, fix the cause, and re-run until everything succeeds.
7. Remove any unused variables/imports or dead code introduced during this change.

Definition of done for this task:
- The described feature/bugfix is working end-to-end in the local dev environment.
- All pages related to this task load with no runtime errors.
- pnpm run build completes successfully.
- No new TypeScript errors or ESLint warnings specific to this change remain.
",Done,Stripe webhook handlers implemented with idempotency; needs comprehensive production event testing.
Core Stability,P0,Fix map rendering issues,"You are Cursor, an AI pair programmer working on the Off Axis Deals production codebase (Next.js 15 App Router + TypeScript + Supabase + Stripe, deployed on Vercel).

Your SINGLE focused task right now is:

- Category: Core Stability
- Priority: P0
- Task: Fix map rendering issues

Objectives:
- Implement or fix this behavior so it is fully working in production.
- Do NOT change or refactor unrelated features.
- Keep the codebase Vercel-ready with zero TypeScript errors and no failing builds.

Follow this process:
1. Scan the repository for files and modules related to this task (routes, components, hooks, API routes, Supabase helpers, Stripe logic, etc.).
2. Identify the root cause or missing implementation for this task.
3. Implement the minimal but robust code changes required to complete the task.
4. Ensure correct auth, role checks (admin/investor/wholesaler), and Supabase RLS alignment where applicable.
5. Run these commands and iterate on failures until they ALL pass:
   - pnpm lint
   - pnpm test (if tests exist)
   - pnpm run build
6. If any command fails, read the error carefully, fix the cause, and re-run until everything succeeds.
7. Remove any unused variables/imports or dead code introduced during this change.

Definition of done for this task:
- The described feature/bugfix is working end-to-end in the local dev environment.
- All pages related to this task load with no runtime errors.
- pnpm run build completes successfully.
- No new TypeScript errors or ESLint warnings specific to this change remain.
",Not Started,"Map and polygon drawing exist; flicker, drawing persistence, and AdvancedMarkerElement deprecation still unresolved."
Admin Panel,P0,Fix CRM Export,"You are Cursor, an AI pair programmer working on the Off Axis Deals production codebase (Next.js 15 App Router + TypeScript + Supabase + Stripe, deployed on Vercel).

Your SINGLE focused task right now is:

- Category: Admin Panel
- Priority: P0
- Task: Fix CRM Export

Objectives:
- Implement or fix this behavior so it is fully working in production.
- Do NOT change or refactor unrelated features.
- Keep the codebase Vercel-ready with zero TypeScript errors and no failing builds.

Follow this process:
1. Scan the repository for files and modules related to this task (routes, components, hooks, API routes, Supabase helpers, Stripe logic, etc.).
2. Identify the root cause or missing implementation for this task.
3. Implement the minimal but robust code changes required to complete the task.
4. Ensure correct auth, role checks (admin/investor/wholesaler), and Supabase RLS alignment where applicable.
5. Run these commands and iterate on failures until they ALL pass:
   - pnpm lint
   - pnpm test (if tests exist)
   - pnpm run build
6. If any command fails, read the error carefully, fix the cause, and re-run until everything succeeds.
7. Remove any unused variables/imports or dead code introduced during this change.

Definition of done for this task:
- The described feature/bugfix is working end-to-end in the local dev environment.
- All pages related to this task load with no runtime errors.
- pnpm run build completes successfully.
- No new TypeScript errors or ESLint warnings specific to this change remain.
",Not Started,CRM export page is a stub ('Coming Soon'); no export pipeline implemented yet.
AI Tools,P0,Fix Repair Estimator blank page,"You are Cursor, an AI pair programmer working on the Off Axis Deals production codebase (Next.js 15 App Router + TypeScript + Supabase + Stripe, deployed on Vercel).

Your SINGLE focused task right now is:

- Category: AI Tools
- Priority: P0
- Task: Fix Repair Estimator blank page

Objectives:
- Implement or fix this behavior so it is fully working in production.
- Do NOT change or refactor unrelated features.
- Keep the codebase Vercel-ready with zero TypeScript errors and no failing builds.

Follow this process:
1. Scan the repository for files and modules related to this task (routes, components, hooks, API routes, Supabase helpers, Stripe logic, etc.).
2. Identify the root cause or missing implementation for this task.
3. Implement the minimal but robust code changes required to complete the task.
4. Ensure correct auth, role checks (admin/investor/wholesaler), and Supabase RLS alignment where applicable.
5. Run these commands and iterate on failures until they ALL pass:
   - pnpm lint
   - pnpm test (if tests exist)
   - pnpm run build
6. If any command fails, read the error carefully, fix the cause, and re-run until everything succeeds.
7. Remove any unused variables/imports or dead code introduced during this change.

Definition of done for this task:
- The described feature/bugfix is working end-to-end in the local dev environment.
- All pages related to this task load with no runtime errors.
- pnpm run build completes successfully.
- No new TypeScript errors or ESLint warnings specific to this change remain.
",Not Started,Estimator logic exists in shared library; UI and routing are currently stubbed.
